1,Laura,Perez Garcia,a@email.es,111111111,45,M,2,40,SI,c1,p1,7
2,Sara,Perez Suarez,b@email.es,222222222,25,M,8,56,SI,c2,p2,8
3,Silvia,Ramirez Perez,c@email.es,333333333,36,M,7,24,SI,c3,p3,5
4,Celia,Rodriguez Caso,d@email.es,444444444,34,M,5,89,NO,c4,p4,6
5,Maria,Garcia Perez,e@email.es,555555555,56,M,4,56,SI,c5,p5,7
6,Jose,Caso Vila,f@email.es,666666666,65,H,9,45,SI,c6,p6,8
7,Pepe,Blanco Ramirez,g@email.es,777777777,62,H,6,23,SI,c7,p7,6
8,Lucas,Garcia Garcia,g@email.es,888888888,42,H,8,55,NO,c8,p8,5
9,Mario,Perez Ruiz,i@email.es,999999999,40,H,7,23,SI,c9,p9,6
10,Bruno,Garcia Blanco,j@email.es,101101101,21,H,3,56,SI,c10,p10,5
